difficulty	episode	section_id	box	item	drop_rate
normal	1	Pinkal	Ruins 3	Berdys	0.0007934555783894439
normal	1	Pinkal	Ruins 3	Amplifier of Blue	0.0008544890582676089
normal	1	Redria	Ruins 3	Sawcer	0.0007934555783894439
normal	1	Redria	Ruins 3	Launcher	0.0007934555783894439
normal	1	Redria	Ruins 3	Amplifier of Blue	0.0008544890582676089
normal	1	Oran	Ruins 3	Edge	0.0007934555783894439
normal	1	Oran	Ruins 3	Claymore	0.0007934555783894439
normal	1	Oran	Ruins 3	Amplifier of Blue	0.0008544890582676089
normal	1	Yellowboze	Ruins 3	Amplifier of Blue	0.0008544890582676089
normal	1	Whitill	Ruins 3	Sawcer	0.0007934555783894439
normal	1	Whitill	Ruins 3	Gatling	0.0007934555783894439
normal	2	Viridia	VR Temple: Alpha	AddSlot	0.0008544890582676089
normal	2	Bluefull	VR Temple: Alpha	Amplifier of Zonde	0.0008544890582676089
normal	2	Purplenum	VR Temple: Alpha	Amplifier of Zonde	0.0008544890582676089
normal	2	Pinkal	VR Temple: Alpha	Amplifier of Zonde	0.0008544890582676089
normal	2	Oran	VR Temple: Alpha	Amplifier of Zonde	0.0008544890582676089
normal	2	Viridia	VR Temple: Beta	Amplifier of Barta	0.0008544890582676089
normal	2	Greenill	VR Temple: Beta	AddSlot	0.0008544890582676089
normal	2	Greenill	VR Temple: Beta	Amplifier of Barta	0.0008544890582676089
normal	2	Purplenum	VR Temple: Beta	Amplifier of Barta	0.0008544890582676089
normal	2	Pinkal	VR Temple: Beta	Amplifier of Barta	0.0008544890582676089
normal	2	Redria	VR Temple: Beta	AddSlot	0.0008544890582676089
normal	2	Whitill	VR Temple: Beta	Amplifier of Barta	0.0008544890582676089
normal	2	Viridia	VR Spaceship: Alpha	Amplifier of Foie	0.0008544890582676089
normal	2	Skyly	VR Spaceship: Alpha	AddSlot	0.0008544890582676089
normal	2	Skyly	VR Spaceship: Alpha	Amplifier of Foie	0.0008544890582676089
normal	2	Bluefull	VR Spaceship: Alpha	Amplifier of Foie	0.0008544890582676089
normal	2	Pinkal	VR Spaceship: Alpha	Amplifier of Foie	0.0008544890582676089
normal	2	Oran	VR Spaceship: Alpha	Amplifier of Foie	0.0008544890582676089
normal	2	Whitill	VR Spaceship: Alpha	Amplifier of Foie	0.0008544890582676089
normal	2	Viridia	VR Spaceship: Beta	Amplifier of Gibarta	0.0008544890582676089
normal	2	Greenill	VR Spaceship: Beta	Amplifier of Gibarta	0.0008544890582676089
normal	2	Bluefull	VR Spaceship: Beta	AddSlot	0.0008544890582676089
normal	2	Purplenum	VR Spaceship: Beta	Amplifier of Gibarta	0.0008544890582676089
normal	2	Pinkal	VR Spaceship: Beta	Amplifier of Gibarta	0.0008544890582676089
normal	2	Redria	VR Spaceship: Beta	AddSlot	0.0008544890582676089
normal	2	Whitill	VR Spaceship: Beta	Amplifier of Gibarta	0.0008544890582676089
normal	2	Viridia	Jungle North	Cannon	0.0005493177473577816
normal	2	Viridia	Jungle North	Glaive	0.0005493177473577816
normal	2	Viridia	Jungle North	Red Barrier	0.0008544890582676089
normal	2	Greenill	Jungle North	Blaster	0.0005493177473577816
normal	2	Greenill	Jungle North	Blade	0.0005493177473577816
normal	2	Skyly	Jungle North	Breaker	0.0005493177473577816
normal	2	Skyly	Jungle North	Blaster	0.0005493177473577816
normal	2	Skyly	Jungle North	Red Barrier	0.0008544890582676089
normal	2	Bluefull	Jungle North	Glaive	0.0005493177473577816
normal	2	Bluefull	Jungle North	Pole	0.0005493177473577816
normal	2	Bluefull	Jungle North	Amplifier of Gizonde	0.0008544890582676089
normal	2	Bluefull	Jungle North	Red Barrier	0.0008544890582676089
normal	2	Purplenum	Jungle North	Repeater	0.0005493177473577816
normal	2	Purplenum	Jungle North	Blade	0.0005493177473577816
normal	2	Purplenum	Jungle North	AddSlot	0.0008544890582676089
normal	2	Purplenum	Jungle North	Amplifier of Gizonde	0.0008544890582676089
normal	2	Pinkal	Jungle North	Staff	0.0005493177473577816
normal	2	Pinkal	Jungle North	Glaive	0.0005493177473577816
normal	2	Pinkal	Jungle North	Amplifier of Gizonde	0.0008544890582676089
normal	2	Pinkal	Jungle North	Red Barrier	0.0008544890582676089
normal	2	Redria	Jungle North	Cutter	0.0005493177473577816
normal	2	Redria	Jungle North	Cannon	0.0005493177473577816
normal	2	Redria	Jungle North	Red Barrier	0.0008544890582676089
normal	2	Oran	Jungle North	Blade	0.0005493177473577816
normal	2	Oran	Jungle North	Breaker	0.0005493177473577816
normal	2	Oran	Jungle North	Amplifier of Gizonde	0.0008544890582676089
normal	2	Oran	Jungle North	Red Barrier	0.0008544890582676089
normal	2	Yellowboze	Jungle North	AddSlot	0.0008544890582676089
normal	2	Yellowboze	Jungle North	Red Barrier	0.0008544890582676089
normal	2	Whitill	Jungle North	Cutter	0.0005493177473577816
normal	2	Whitill	Jungle North	Repeater	0.0005493177473577816
normal	2	Whitill	Jungle North	Red Barrier	0.0008544890582676089
normal	2	Viridia	Jungle East	Mag	0.008788890841975743
normal	2	Viridia	Jungle East	Amplifier of Gifoie	0.0008544890582676089
normal	2	Greenill	Jungle East	Mag	0.008788890841975743
normal	2	Skyly	Jungle East	Mag	0.008788890841975743
normal	2	Skyly	Jungle East	Amplifier of Gifoie	0.0008544890582676089
normal	2	Bluefull	Jungle East	Mag	0.008788890841975743
normal	2	Bluefull	Jungle East	Amplifier of Gifoie	0.0008544890582676089
normal	2	Bluefull	Jungle East	Yellow Barrier	0.0008544890582676089
normal	2	Purplenum	Jungle East	Mag	0.008788890841975743
normal	2	Purplenum	Jungle East	Yellow Barrier	0.0008544890582676089
normal	2	Pinkal	Jungle East	Mag	0.008788890841975743
normal	2	Pinkal	Jungle East	Amplifier of Gifoie	0.0008544890582676089
normal	2	Pinkal	Jungle East	Yellow Barrier	0.0008544890582676089
normal	2	Redria	Jungle East	Mag	0.008788890841975743
normal	2	Redria	Jungle East	Yellow Barrier	0.0008544890582676089
normal	2	Oran	Jungle East	Mag	0.008788890841975743
normal	2	Oran	Jungle East	AddSlot	0.0008544890582676089
normal	2	Oran	Jungle East	Amplifier of Gifoie	0.0008544890582676089
normal	2	Oran	Jungle East	Yellow Barrier	0.0008544890582676089
normal	2	Yellowboze	Jungle East	Mag	0.008788890841975743
normal	2	Yellowboze	Jungle East	Yellow Barrier	0.0008544890582676089
normal	2	Whitill	Jungle East	Mag	0.008788890841975743
normal	2	Whitill	Jungle East	AddSlot	0.0008544890582676089
normal	2	Whitill	Jungle East	Amplifier of Gifoie	0.0008544890582676089
normal	2	Viridia	Mountain	Mag	0.00390625
normal	2	Viridia	Mountain	Cannon	0.0006713887676659169
normal	2	Viridia	Mountain	Glaive	0.0006713887676659169
normal	2	Greenill	Mountain	Mag	0.00390625
normal	2	Greenill	Mountain	Blaster	0.0006713887676659169
normal	2	Greenill	Mountain	Blade	0.0006713887676659169
normal	2	Skyly	Mountain	Mag	0.00390625
normal	2	Skyly	Mountain	Breaker	0.0006713887676659169
normal	2	Skyly	Mountain	Blaster	0.0006713887676659169
normal	2	Bluefull	Mountain	Mag	0.00390625
normal	2	Bluefull	Mountain	Glaive	0.0006713887676659169
normal	2	Bluefull	Mountain	Pole	0.0006713887676659169
normal	2	Bluefull	Mountain	Amplifier of Razonde	0.0008544890582676089
normal	2	Purplenum	Mountain	Mag	0.00390625
normal	2	Purplenum	Mountain	Repeater	0.0006713887676659169
normal	2	Purplenum	Mountain	Blade	0.0006713887676659169
normal	2	Purplenum	Mountain	Amplifier of Razonde	0.0008544890582676089
normal	2	Pinkal	Mountain	Mag	0.00390625
normal	2	Pinkal	Mountain	Staff	0.0006713887676659169
normal	2	Pinkal	Mountain	Glaive	0.0006713887676659169
normal	2	Pinkal	Mountain	Amplifier of Razonde	0.0008544890582676089
normal	2	Redria	Mountain	Mag	0.00390625
normal	2	Redria	Mountain	Cutter	0.0006713887676659169
normal	2	Redria	Mountain	Cannon	0.0006713887676659169
normal	2	Redria	Mountain	AddSlot	0.0008544890582676089
normal	2	Oran	Mountain	Mag	0.00390625
normal	2	Oran	Mountain	Blade	0.0006713887676659169
normal	2	Oran	Mountain	Breaker	0.0006713887676659169
normal	2	Oran	Mountain	Amplifier of Razonde	0.0008544890582676089
normal	2	Yellowboze	Mountain	Mag	0.00390625
normal	2	Yellowboze	Mountain	AddSlot	0.0008544890582676089
normal	2	Whitill	Mountain	Mag	0.00390625
normal	2	Whitill	Mountain	Cutter	0.0006713887676659169
normal	2	Whitill	Mountain	Repeater	0.0006713887676659169
normal	2	Viridia	Seaside 	Amplifier of Rabarta	0.0008544890582676089
normal	2	Viridia	Seaside 	Blue Barrier	0.0008544890582676089
normal	2	Greenill	Seaside 	Amplifier of Rabarta	0.0008544890582676089
normal	2	Greenill	Seaside 	Amplifier of Blue	0.0008544890582676089
normal	2	Greenill	Seaside 	Blue Barrier	0.0008544890582676089
normal	2	Purplenum	Seaside 	Amplifier of Rabarta	0.0008544890582676089
normal	2	Purplenum	Seaside 	Blue Barrier	0.0008544890582676089
normal	2	Pinkal	Seaside 	AddSlot	0.0008544890582676089
normal	2	Pinkal	Seaside 	Amplifier of Rabarta	0.0008544890582676089
normal	2	Pinkal	Seaside 	Amplifier of Blue	0.0008544890582676089
normal	2	Pinkal	Seaside 	Blue Barrier	0.0008544890582676089
normal	2	Redria	Seaside 	Amplifier of Blue	0.0008544890582676089
normal	2	Redria	Seaside 	Blue Barrier	0.0008544890582676089
normal	2	Yellowboze	Seaside 	AddSlot	0.0008544890582676089
normal	2	Yellowboze	Seaside 	Amplifier of Blue	0.0008544890582676089
normal	2	Yellowboze	Seaside 	Blue Barrier	0.0008544890582676089
normal	2	Whitill	Seaside 	Amplifier of Rabarta	0.0008544890582676089
normal	2	Whitill	Seaside 	Blue Barrier	0.0008544890582676089
normal	2	Viridia	Seabed: Upper Levels	Amplifier of Rafoie	0.0008544890582676089
normal	2	Skyly	Seabed: Upper Levels	Amplifier of Rafoie	0.0008544890582676089
normal	2	Skyly	Seabed: Upper Levels	Amplifier of Red 	0.0008544890582676089
normal	2	Bluefull	Seabed: Upper Levels	Amplifier of Rafoie	0.0008544890582676089
normal	2	Pinkal	Seabed: Upper Levels	Amplifier of Rafoie	0.0008544890582676089
normal	2	Pinkal	Seabed: Upper Levels	Amplifier of Red 	0.0008544890582676089
normal	2	Redria	Seabed: Upper Levels	Amplifier of Red 	0.0008544890582676089
normal	2	Redria	Seabed: Upper Levels	AddSlot	0.0008544890582676089
normal	2	Oran	Seabed: Upper Levels	Amplifier of Rafoie	0.0008544890582676089
normal	2	Yellowboze	Seabed: Upper Levels	Amplifier of Red 	0.0008544890582676089
normal	2	Whitill	Seabed: Upper Levels	Amplifier of Rafoie	0.0008544890582676089
normal	2	Viridia	Seabed: Lower Levels	Launcher	0.0007934555783894439
normal	2	Viridia	Seabed: Lower Levels	Berdys	0.0007934555783894439
normal	2	Greenill	Seabed: Lower Levels	Beam	0.0007934555783894439
normal	2	Greenill	Seabed: Lower Levels	Edge	0.0007934555783894439
normal	2	Skyly	Seabed: Lower Levels	Claymore	0.0007934555783894439
normal	2	Skyly	Seabed: Lower Levels	Beam	0.0007934555783894439
normal	2	Bluefull	Seabed: Lower Levels	Berdys	0.0007934555783894439
normal	2	Bluefull	Seabed: Lower Levels	Pillar	0.0007934555783894439
normal	2	Purplenum	Seabed: Lower Levels	Gatling	0.0007934555783894439
normal	2	Purplenum	Seabed: Lower Levels	Edge	0.0007934555783894439
normal	2	Pinkal	Seabed: Lower Levels	Baton	0.0007934555783894439
normal	2	Pinkal	Seabed: Lower Levels	Berdys	0.0007934555783894439
normal	2	Pinkal	Seabed: Lower Levels	Amplifier of Yellow	0.0008544890582676089
normal	2	Redria	Seabed: Lower Levels	Sawcer	0.0007934555783894439
normal	2	Redria	Seabed: Lower Levels	Launcher	0.0007934555783894439
normal	2	Redria	Seabed: Lower Levels	Amplifier of Yellow	0.0008544890582676089
normal	2	Oran	Seabed: Lower Levels	Edge	0.0007934555783894439
normal	2	Oran	Seabed: Lower Levels	Claymore	0.0007934555783894439
normal	2	Yellowboze	Seabed: Lower Levels	AddSlot	0.0008544890582676089
normal	2	Yellowboze	Seabed: Lower Levels	Amplifier of Yellow	0.0008544890582676089
normal	2	Whitill	Seabed: Lower Levels	Sawcer	0.0007934555783894439
normal	2	Whitill	Seabed: Lower Levels	Gatling	0.0007934555783894439
normal	4	Viridia	Crater East	AddSlot	0.0008544890582676089
normal	4	Greenill	Crater East	AddSlot	0.0008544890582676089
normal	4	Skyly	Crater East	AddSlot	0.0008544890582676089
normal	4	Bluefull	Crater East	AddSlot	0.0008544890582676089
normal	4	Purplenum	Crater East	AddSlot	0.0008544890582676089
normal	4	Pinkal	Crater East	AddSlot	0.0008544890582676089
normal	4	Redria	Crater East	AddSlot	0.0008544890582676089
normal	4	Oran	Crater East	AddSlot	0.0008544890582676089
normal	4	Yellowboze	Crater East	AddSlot	0.0008544890582676089
normal	4	Whitill	Crater East	AddSlot	0.0008544890582676089
normal	4	Viridia	Crater West	AddSlot	0.0008544890582676089
normal	4	Greenill	Crater West	AddSlot	0.0008544890582676089
normal	4	Skyly	Crater West	AddSlot	0.0008544890582676089
normal	4	Bluefull	Crater West	AddSlot	0.0008544890582676089
normal	4	Purplenum	Crater West	AddSlot	0.0008544890582676089
normal	4	Pinkal	Crater West	AddSlot	0.0008544890582676089
normal	4	Redria	Crater West	AddSlot	0.0008544890582676089
normal	4	Oran	Crater West	AddSlot	0.0008544890582676089
normal	4	Yellowboze	Crater West	AddSlot	0.0008544890582676089
normal	4	Whitill	Crater West	AddSlot	0.0008544890582676089
normal	4	Viridia	Crater South	AddSlot	0.0008544890582676089
normal	4	Greenill	Crater South	AddSlot	0.0008544890582676089
normal	4	Skyly	Crater South	AddSlot	0.0008544890582676089
normal	4	Bluefull	Crater South	AddSlot	0.0008544890582676089
normal	4	Purplenum	Crater South	AddSlot	0.0008544890582676089
normal	4	Pinkal	Crater South	AddSlot	0.0008544890582676089
normal	4	Redria	Crater South	AddSlot	0.0008544890582676089
normal	4	Oran	Crater South	AddSlot	0.0008544890582676089
normal	4	Yellowboze	Crater South	AddSlot	0.0008544890582676089
normal	4	Whitill	Crater South	AddSlot	0.0008544890582676089
normal	4	Viridia	Crater North	AddSlot	0.0008544890582676089
normal	4	Greenill	Crater North	AddSlot	0.0008544890582676089
normal	4	Skyly	Crater North	AddSlot	0.0008544890582676089
normal	4	Bluefull	Crater North	AddSlot	0.0008544890582676089
normal	4	Purplenum	Crater North	AddSlot	0.0008544890582676089
normal	4	Pinkal	Crater North	AddSlot	0.0008544890582676089
normal	4	Redria	Crater North	AddSlot	0.0008544890582676089
normal	4	Oran	Crater North	AddSlot	0.0008544890582676089
normal	4	Yellowboze	Crater North	AddSlot	0.0008544890582676089
normal	4	Whitill	Crater North	AddSlot	0.0008544890582676089
normal	4	Viridia	Crater Int.	AddSlot	0.0008544890582676089
normal	4	Greenill	Crater Int.	AddSlot	0.0008544890582676089
normal	4	Skyly	Crater Int.	AddSlot	0.0008544890582676089
normal	4	Bluefull	Crater Int.	AddSlot	0.0008544890582676089
normal	4	Purplenum	Crater Int.	AddSlot	0.0008544890582676089
normal	4	Pinkal	Crater Int.	AddSlot	0.0008544890582676089
normal	4	Redria	Crater Int.	AddSlot	0.0008544890582676089
normal	4	Oran	Crater Int.	AddSlot	0.0008544890582676089
normal	4	Yellowboze	Crater Int.	AddSlot	0.0008544890582676089
normal	4	Whitill	Crater Int.	AddSlot	0.0008544890582676089
normal	4	Viridia	Desert 1	AddSlot	0.0008544890582676089
normal	4	Greenill	Desert 1	AddSlot	0.0008544890582676089
normal	4	Skyly	Desert 1	AddSlot	0.0008544890582676089
normal	4	Bluefull	Desert 1	AddSlot	0.0008544890582676089
normal	4	Purplenum	Desert 1	AddSlot	0.0008544890582676089
normal	4	Pinkal	Desert 1	AddSlot	0.0008544890582676089
normal	4	Redria	Desert 1	AddSlot	0.0008544890582676089
normal	4	Oran	Desert 1	AddSlot	0.0008544890582676089
normal	4	Yellowboze	Desert 1	AddSlot	0.0008544890582676089
normal	4	Whitill	Desert 1	AddSlot	0.0008544890582676089
normal	4	Viridia	Desert 2	AddSlot	0.0008544890582676089
normal	4	Greenill	Desert 2	AddSlot	0.0008544890582676089
normal	4	Skyly	Desert 2	AddSlot	0.0008544890582676089
normal	4	Bluefull	Desert 2	AddSlot	0.0008544890582676089
normal	4	Purplenum	Desert 2	AddSlot	0.0008544890582676089
normal	4	Pinkal	Desert 2	AddSlot	0.0008544890582676089
normal	4	Redria	Desert 2	AddSlot	0.0008544890582676089
normal	4	Oran	Desert 2	AddSlot	0.0008544890582676089
normal	4	Yellowboze	Desert 2	AddSlot	0.0008544890582676089
normal	4	Whitill	Desert 2	AddSlot	0.0008544890582676089
normal	4	Viridia	Desert 3	AddSlot	0.0008544890582676089
normal	4	Greenill	Desert 3	AddSlot	0.0008544890582676089
normal	4	Skyly	Desert 3	AddSlot	0.0008544890582676089
normal	4	Bluefull	Desert 3	AddSlot	0.0008544890582676089
normal	4	Purplenum	Desert 3	AddSlot	0.0008544890582676089
normal	4	Pinkal	Desert 3	AddSlot	0.0008544890582676089
normal	4	Redria	Desert 3	AddSlot	0.0008544890582676089
normal	4	Oran	Desert 3	AddSlot	0.0008544890582676089
normal	4	Yellowboze	Desert 3	AddSlot	0.0008544890582676089
normal	4	Whitill	Desert 3	AddSlot	0.0008544890582676089
normal	4	Viridia	Boss	AddSlot	0.0008544890582676089
normal	4	Greenill	Boss	AddSlot	0.0008544890582676089
normal	4	Skyly	Boss	AddSlot	0.0008544890582676089
normal	4	Bluefull	Boss	AddSlot	0.0008544890582676089
normal	4	Purplenum	Boss	AddSlot	0.0008544890582676089
normal	4	Pinkal	Boss	AddSlot	0.0008544890582676089
normal	4	Redria	Boss	AddSlot	0.0008544890582676089
normal	4	Oran	Boss	AddSlot	0.0008544890582676089
normal	4	Yellowboze	Boss	AddSlot	0.0008544890582676089
normal	4	Whitill	Boss	AddSlot	0.0008544890582676089
hard	1	Viridia	Forest 1	Amplifier of Barta	0.0008544890582676089
hard	1	Greenill	Forest 1	Amplifier of Barta	0.0008544890582676089
hard	1	Greenill	Forest 1	Amplifier of Deband	0.0008544890582676089
hard	1	Bluefull	Forest 1	Amplifier of Shifta	0.0008544890582676089
hard	1	Purplenum	Forest 1	Amplifier of Barta	0.0008544890582676089
hard	1	Pinkal	Forest 1	Amplifier of Deband	0.0008544890582676089
